"","Plant","Type_new","Treatment_new","conc_new","uptake"
"1","Qn1","Q","NC","1",16
"2","Qn1","Q","NC","2",30.4
"3","Qn1","Q","NC","3",34.8
"4","Qn1","Q","NC","4",37.2
"5","Qn1","Q","NC","5",35.3
"6","Qn1","Q","NC","6",39.2
"7","Qn1","Q","NC","7",39.7
"8","Qn2","Q","NC","1",13.6
"9","Qn2","Q","NC","2",27.3
"10","Qn2","Q","NC","3",37.1
"11","Qn2","Q","NC","4",41.8
"12","Qn2","Q","NC","5",40.6
"13","Qn2","Q","NC","6",41.4
"14","Qn2","Q","NC","7",44.3
"15","Qn3","Q","NC","1",16.2
"16","Qn3","Q","NC","2",32.4
"17","Qn3","Q","NC","3",40.3
"18","Qn3","Q","NC","4",42.1
"19","Qn3","Q","NC","5",42.9
"20","Qn3","Q","NC","6",43.9
"21","Qn3","Q","NC","7",45.5
"22","Qc1","Q","C","1",14.2
"23","Qc1","Q","C","2",24.1
"24","Qc1","Q","C","3",30.3
"25","Qc1","Q","C","4",34.6
"26","Qc1","Q","C","5",32.5
"27","Qc1","Q","C","6",35.4
"28","Qc1","Q","C","7",38.7
"29","Qc2","Q","C","1",9.3
"30","Qc2","Q","C","2",27.3
"31","Qc2","Q","C","3",35
"32","Qc2","Q","C","4",38.8
"33","Qc2","Q","C","5",38.6
"34","Qc2","Q","C","6",37.5
"35","Qc2","Q","C","7",42.4
"36","Qc3","Q","C","1",15.1
"37","Qc3","Q","C","2",21
"38","Qc3","Q","C","3",38.1
"39","Qc3","Q","C","4",34
"40","Qc3","Q","C","5",38.9
"41","Qc3","Q","C","6",39.6
"42","Qc3","Q","C","7",41.4
"43","Mn1","M","NC","1",10.6
"44","Mn1","M","NC","2",19.2
"45","Mn1","M","NC","3",26.2
"46","Mn1","M","NC","4",30
"47","Mn1","M","NC","5",30.9
"48","Mn1","M","NC","6",32.4
"49","Mn1","M","NC","7",35.5
"50","Mn2","M","NC","1",12
"51","Mn2","M","NC","2",22
"52","Mn2","M","NC","3",30.6
"53","Mn2","M","NC","4",31.8
"54","Mn2","M","NC","5",32.4
"55","Mn2","M","NC","6",31.1
"56","Mn2","M","NC","7",31.5
"57","Mn3","M","NC","1",11.3
"58","Mn3","M","NC","2",19.4
"59","Mn3","M","NC","3",25.8
"60","Mn3","M","NC","4",27.9
"61","Mn3","M","NC","5",28.5
"62","Mn3","M","NC","6",28.1
"63","Mn3","M","NC","7",27.8
"64","Mc1","M","C","1",10.5
"65","Mc1","M","C","2",14.9
"66","Mc1","M","C","3",18.1
"67","Mc1","M","C","4",18.9
"68","Mc1","M","C","5",19.5
"69","Mc1","M","C","6",22.2
"70","Mc1","M","C","7",21.9
"71","Mc2","M","C","1",7.7
"72","Mc2","M","C","2",11.4
"73","Mc2","M","C","3",12.3
"74","Mc2","M","C","4",13
"75","Mc2","M","C","5",12.5
"76","Mc2","M","C","6",13.7
"77","Mc2","M","C","7",14.4
"78","Mc3","M","C","1",10.6
"79","Mc3","M","C","2",18
"80","Mc3","M","C","3",17.9
"81","Mc3","M","C","4",17.9
"82","Mc3","M","C","5",17.9
"83","Mc3","M","C","6",18.9
"84","Mc3","M","C","7",19.9
